first,second,strength
ACHIOTE SEEDS,beef,good
ACHIOTE SEEDS,chicken,good
ACHIOTE SEEDS,chiles,good
ACHIOTE SEEDS,citrus,good
ACHIOTE SEEDS,fish,good
ACHIOTE SEEDS,duck,good
ACHIOTE SEEDS,quail,good
ACHIOTE SEEDS,garlic,good
ACHIOTE SEEDS,pork,good
ACHIOTE SEEDS,lobster,good
ACHIOTE SEEDS,shrimp,good
ALLSPICE,apples,good
ALLSPICE,baked,good
ALLSPICE,goods,good
ALLSPICE,beans,good
ALLSPICE,BEEF,good
ALLSPICE,beets,good
ALLSPICE,breads,good
ALLSPICE,cabbage,good
ALLSPICE,cakes,good
ALLSPICE,carrots,good
ALLSPICE,chicken,good
ALLSPICE,chickpeas,good
ALLSPICE,chile,good
ALLSPICE,peppers,good
ALLSPICE,cinnamon,good
ALLSPICE,cloves,good
ALLSPICE,cookies,good
ALLSPICE,coriander,good
ALLSPICE,currants,good
ALLSPICE,curry powder,good
ALLSPICE,eggplant,good
ALLSPICE,fish,good
ALLSPICE,garlic,good
ALLSPICE,ginger,good
ALLSPICE,goat,good
ALLSPICE,grains,good
ALLSPICE,ham,good
ALLSPICE,ketchup,good
ALLSPICE,lamb,good
ALLSPICE,mushrooms,good
ALLSPICE,mustard,good
ALLSPICE,nutmeg,good
ALLSPICE,nuts,good
ALLSPICE,onions,good
ALLSPICE,pepper,good
ALLSPICE,pineapple,good
ALLSPICE,pork,good
ALLSPICE,PUMPKIN,better
ALLSPICE,rabbit,good
ALLSPICE,rice,good
ALLSPICE,rosemary,good
